,District Name,January,February,March,April,May,June,July,August,September,October,November,December
143,Patan 2012,6.875,28.925,56.025,39.425,49.775,55.9,56.4,53.35,72.475,68.05,49.75,12.525
144,Sabarkantha 2012,6.875,28.925,56.025,39.425,49.775,55.9,56.4,53.35,72.475,68.05,49.75,12.525
145,Gandhinagar 2012,6.875,28.925,56.025,39.425,49.775,55.9,56.4,53.35,72.475,68.05,49.75,12.525
146,Mehsana 2012,6.875,28.925,56.025,39.425,49.775,55.9,56.4,53.35,72.475,68.05,49.75,12.525
147,Aravalli 2012,6.875,28.925,56.025,39.425,49.775,55.9,56.4,53.35,72.475,68.05,49.75,12.525
148,Junagadh 2012,12.65,25.174999999999997,61.849999999999994,27.0,47.475,54.825,48.775,59.875,47.625,66.45,39.875,8.799999999999999
149,Jamnagar 2012,7.4750000000000005,25.45,61.175000000000004,33.925,57.25,52.0,50.05,51.925,72.15,72.975,57.25,10.55
150,Rajkot 2012,7.4750000000000005,25.45,61.175000000000004,33.925,57.25,52.0,50.05,51.925,72.15,72.975,57.25,10.55
151,Surendranagar 2012,7.4750000000000005,25.45,61.175000000000004,33.925,57.25,52.0,50.05,51.925,72.15,72.975,57.25,10.55
152,Gir Somnath 2012,12.1,36.2,95.75,33.425,73.025,58.85,53.4,52.975,54.875,80.575,56.050000000000004,4.45
153,Sangli 2013,28.450000000000003,19.125,13.95,14.899999999999999,20.15,24.75,45.25,67.35,27.75,29.175,27.725,16.400000000000002
154,Solapur 2013,28.450000000000003,19.125,13.95,14.899999999999999,20.15,24.75,45.25,67.35,27.75,29.175,27.725,16.400000000000002
155,Kolhapur 2013,27.65,5.225,16.15,9.05,15.025,39.525,53.175,83.725,40.775,45.35,26.049999999999997,16.525
156,Osmanabad 2013,27.575,21.925,12.325,15.675,21.85,22.35,45.15,66.17500000000001,28.025,27.25,27.3,15.725
157,Satara 2013,28.450000000000003,19.125,13.95,14.899999999999999,20.15,24.75,45.25,67.35,27.75,29.175,27.725,16.400000000000002
158,Jalna 2013,27.65,21.1,10.525,14.525,22.325000000000003,27.5,50.05,72.65,30.75,33.05,31.675,16.35
159,Dhule 2013,25.325,18.1,11.600000000000001,15.875,20.05,22.175,43.55,68.975,28.375,30.5,29.775,17.15
160,Aurangabad 2013,26.875,19.625,10.9,14.95,21.65,25.299999999999997,47.675,70.325,29.625,31.3,30.674999999999997,16.4
161,Barddhaman 2013,23.825,16.725,8.525,13.9,19.575,23.95,45.275,69.525,27.4,30.9,29.35,15.25
162,Sitamarhi 2013,47.375,30.175,36.0,24.0,13.774999999999999,26.75,58.025,50.5,24.4,70.3,32.475,49.325
163,Samastipur 2013,40.949999999999996,28.275,32.75,19.45,14.575,30.025000000000002,53.074999999999996,64.725,27.175,60.75,40.300000000000004,39.574999999999996
164,Muzaffarpur 2013,47.375,30.175,36.0,24.0,13.774999999999999,26.75,58.025,50.5,24.4,70.3,32.475,49.325
165,Khagaria 2013,40.949999999999996,28.275,32.75,19.45,14.575,30.025000000000002,53.074999999999996,64.725,27.175,60.75,40.300000000000004,39.574999999999996
166,Begusarai 2013,40.949999999999996,28.275,32.75,19.45,14.575,30.025000000000002,53.074999999999996,64.725,27.175,60.75,40.300000000000004,39.574999999999996
167,Paschim Champaran 2013,53.475,28.575,40.325,29.525,13.8,21.525,65.7,33.275,17.425,81.25,25.225,60.25
168,Malkangiri 2013,27.675,22.875,10.4,14.375,22.6,27.75,50.45,72.925,31.25,32.75,31.075000000000003,16.025
169,Koraput 2013,27.675,22.875,10.4,14.375,22.6,27.75,50.45,72.925,31.25,32.75,31.075000000000003,16.025
170,Bargarh 2013,26.25,19.025,10.05,14.475,21.2,25.725,47.925,70.45,29.15,31.75,30.9,16.075
171,Rayagada 2013,27.975,20.65,9.225,13.475,21.700000000000003,30.575,53.175,75.1,30.775,36.325,34.725,16.8
